Compx gene list,,"""Flat"" list",,
ABI2,,ABHD2,,
AC235565.2,,ADORA2A,,
ACOT11,,AGPAT5,,
ACOT7,,AK6,,
ACSS2,,ALAD,,
ADAM15,,ALG1,,
ADAM8,,ALG10,,
ADAMTS3,,ALG10B,,
ADH1A,,ALG8,,
ADH1B,,AMT,,
ADH1C,,ANAPC10,,
ADH4,,ANKZF1,,
ADH5,,ANXA6,,
ADH6,,ARHGDIA,,
ADH7,,ARL5A,,
ADORA3,,ARPC1B,,
ADSS,,ASAH1,,
AGBL4,,ASMT,,
AHCYL1,,ASRGL1,,
AKR1A1,,ATG12,,
ALAS2,,ATG13,,
ALDH1L1,,ATG9B,,
ANKRD50,,ATP13A1,,
AP1B1,,ATP6V0D1,,
AP1S1,,ATP6V1G3,,
AP1S2,,BBS1,,
AP2A1,,BBS2,,
AP2S1,,BCKDHA,,
AP3S2,,BCL6,,
APP,,BTBD3,,
ARAP2,,BYSL,,
ARFGAP1,,C15orf41,,
ARG2,,C1QTNF1,,
ARHGDIB,,C9orf64,,
ARID2,,CACYBP,,
ARIH2,,CAPSL,,
ARL14EP,,CARHSP1,,
ARL15,,CAV2,,
ARMC8,,CCDC124,,
ARNT,,CCDC181,,
ARPC5,,CCDC25,,
ASCL3,,CCNG1,,
ASF1B,,CCS,,
ASNA1,,CCZ1B,,
ATG2A,,CDC16,,
ATP5F1A,,CENPV,,
ATP6V1E1,,CEP78,,
ATXN7L3,,CFAP157,,
BACE1,,CFAP57,,
BANF2,,CHMP7,,
BBS9,,CHRM2,,
BCAP29,,CHSY1,,
BCL7B,,CHSY3,,
BCL7C,,CIRBP,,
BET1,,CLNS1A,,
BET1L,,CLPTM1L,,
BLM,,CMC1,,
BNC2,,CMC2,,
BPNT1,,CMTR2,,
BSDC1,,CNDP2,,
BUB3,,CNKSR2,,
C1D,,COASY,,
C1QTNF3,,COL4A3BP,,
CA2,,COPB1,,
CA5A,,COX11,,
CALHM3,,CPA1,,
CALHM4,,CPA4,,
CALHM6,,CPLX2,,
CAPN3,,CPSF2,,
CAPZA1,,CPSF7,,
CAPZA2,,CRAMP1,,
CASP2,,CRBN,,
CBLN2,,CSTF1,,
CBX6,,CTCF,,
CBX8,,CTNNB1,,
CCDC151,,CTNNBIP1,,
CCNC,,CTSB,,
CCND1,,DAD1,,
CCNH,,DCAF13,,
CCZ1,,DDB1,,
CCZ1B,,DDX6,,
CD63,,DECR1,,
CDC20,,DGCR8,,
CDC40,,DHRS2,,
CDCA7,,DHX36,,
CDK1,,DHX38,,
CDK11A,,DLX4,,
CDK11B,,DMGDH,,
CDK19,,DMRT2,,
CDK20,,DNAAF3,,
CDK5,,DNAAF5,,
CDK7,,DNAJC18,,
CERS5,,DPH1,,
CHD5,,DPH2,,
CHMP2B,,DPP9,,
CIB2,,DTWD1,,
CIB3,,DUOX1,,
CLASRP,,DUS4L,,
CLIC4,,DYM,,
CLIC5,,DYNC2LI1,,
CLIC6,,EARS2,,
CMTM6,,EDC3,,
CNIH1,,EEF1AKMT2,,
CNIH4,,EEPD1,,
CNOT7,,EFCAB2,,
COBL,,EFHC1,,
COL12A1,,EFHD1,,
COL14A1,,EIF1AD,,
COL6A1,,EIF3B,,
COL6A2,,EIF3C,,
COLQ,,EIF3F,,
COMMD7,,EIF3H,,
COPA,,ELP2,,
COPS7A,,ELP4,,
COPZ1,,EMC4,,
COQ8B,,EMC7,,
COQ9,,ENKUR,,
CPSF4,,ENO1,,
CRYZL1,,ERCC3,,
CTTNBP2,,EXTL3,,
CUL4B,,FAM185A,,
CWC27,,FAM72A,,
DAP3,,FAM72B,,
DBT,,FAXDC2,,
DEPDC5,,FBXL16,,
DERL2,,FEM1B,,
DHX8,,FGL1,,
DHX9,,FICD,,
DIS3L2,,FMC1,,
DLST,,FNIP1,,
DNTTIP2,,FNTA,,
DOK1,,FRMD6,,
DOK6,,FRS2,,
DOPEY1,,FTCD,,
DPH5,,GAS8,,
DTL,,GATB,,
DTX3,,GATC,,
EEF1B2,,GATM,,
EEF1D,,GCNT3,,
EIF1,,GDF9,,
EIF1B,,GLDC,,
EIF3E,,GOSR1,,
ELFN1,,GOSR2,,
EMC9,,GPALPP1,,
EML4,,GPR89A,,
EMSY,,HAAO,,
ENTPD5,,HADH,,
ERCC2,,HAO2,,
ERGIC1,,HEXB,,
ERLIN1,,HSD17B4,,
ETHE1,,HSPA9,,
EXOC6,,HYDIN,,
EXOC7,,IFT74,,
EXOSC6,,IMMP1L,,
EXT2,,IMP3,,
EYA3,,INTS12,,
FAM120B,,INTS14,,
FAM160A1,,INTS9,,
FAM172A,,IQUB,,
FAM206A,,IRAK4,,
FAM49B,,JOSD1,,
FAM92A,,KATNB1,,
FAM98C,,KCNC4,,
FANCD2,,KDELR2,,
FBLL1,,KDELR3,,
FBXO8,,LACTB,,
FCF1,,LARP7,,
FN1,,LARS,,
FO393400.1,,LCMT1,,
FOXP1,,LGMN,,
FREM1,,LIG4,,
GABARAP,,LONP1,,
GCAT,,LRRC6,,
GDPD5,,LTN1,,
GFOD1,,MAATS1,,
GFOD2,,MAGEA2,,
GGA3,,MAGEA2B,,
GNA13,,MAGEA4,,
GNG2,,MAPK10,,
GNG3,,MCM4,,
GNL1,,MCTS1,,
GPATCH1,,MED17,,
GPC1,,MED22,,
GPC2,,MED9,,
GPS1,,MFSD8,,
GRIA1,,MIOS,,
GRIA4,,MLEC,,
GRIK1,,MLST8,,
GRIK2,,MOGS,,
GRTP1,,MORN5,,
GSX2,,MPPE1,,
GTF3A,,MRPL11,,
GUCY1B1,,MRPL16,,
H2AFV,,MRPL22,,
HACD2,,MRPL28,,
HADHB,,MRPL43,,
HAND2,,MRPL55,,
HDAC2,,MRPS2,,
HDAC8,,MRPS22,,
HERC2,,MSH6,,
HHIPL1,,MTFP1,,
HM13,,MTRF1,,
HMBS,,MTTP,,
HMGCL,,MVD,,
HNRNPH1,,MYL6B,,
HOOK2,,NAF1,,
HOOK3,,NAT9,,
HOXC4,,NDUFA2,,
HS3ST2,,NDUFAF5,,
HSD17B2,,NDUFAF7,,
ID2,,NDUFB9,,
ID3,,NECAP1,,
IDS,,NELFA,,
IFRD2,,NFS1,,
IFT140,,NHP2,,
IFT20,,NOP16,,
IGSF9,,NOP2,,
IL18RAP,,NOP53,,
ILK,,NUDT2,,
ILKAP,,NUDT4,,
IP6K2,,OSBPL2,,
IPO11,,OTUD4,,
IPP,,PAX6,,
IQGAP1,,PCNX4,,
IRAK1,,PDCD10,,
IRF1,,PDP2,,
IRX4,,PDZD3,,
IRX6,,PES1,,
ITGB4,,PGS1,,
JMJD7,,PHOSPHO1,,
KCNC2,,PIGL,,
KCND3,,PIGS,,
KCNIP1,,PIN1,,
KCNIP4,,PIP4K2C,,
KCNK15,,PISD,,
KCTD1,,PKMYT1,,
KCTD15,,PLA2G15,,
KCTD3,,PNPO,,
KCTD8,,POLA2,,
KCTD9,,POLH,,
KIF5A,,POLR2D,,
KIF5C,,POLR2G,,
KIFAP3,,PPP2CB,,
KLF6,,PPWD1,,
KLHL10,,PRELID3A,,
KLHL2,,PREPL,,
KMT2E,,PRICKLE1,,
KPNA1,,PRPF8,,
KPNA2,,PSEN1,,
KPNA6,,PSMC2,,
KRI1,,PSMC5,,
KTI12,,PSMD7,,
LANCL1,,PSMG2,,
LIG3,,PTRHD1,,
LLGL2,,RAB10,,
LMAN2L,,RAB27A,,
LMBR1,,RAD51C,,
LMNA,,RAD9A,,
LOXHD1,,RANBP3,,
MAEA,,RASSF8,,
MAFK,,RBM15,,
MAGOH,,RBP5,,
MAGT1,,RCL1,,
MAP3K5,,REEP2,,
MAR7,,RERGL,,
MCCC2,,RFWD3,,
MCRS1,,RHAG,,
MDH1,,RHOH,,
MEAF6,,RNASEH2B,,
MED12L,,RNPS1,,
MED16,,RPL10,,
MED4,,RPLP0,,
METTL15,,RUVBL1,,
METTL2A,,SARAF,,
MIER1,,SARS2,,
MKS1,,SCPEP1,,
MRO,,SCYL1,,
MROH1,,SDF2,,
MROH2A,,SDHD,,
MROH7,,SERP1,,
MROH7-TTC4,,SETD4,,
MROH8,,SFXN2,,
MROH9,,SH3BP4,,
MRPL39,,SH3GL1,,
MRPS18A,,SIK1,,
MSX2,,SLC19A3,,
MTERF3,,SLC25A46,,
MTMR2,,SLC25A48,,
MTREX,,SLC30A8,,
MXI1,,SLC35F5,,
MYBPC1,,SLC46A1,,
MYBPC3,,SLC52A2,,
MYCBP2,,SLC6A1,,
MYLK,,SLX1A,,
MYOM2,,SLX1B,,
MYOM3,,SMARCB1,,
N6AMT1,,SMARCE1,,
NAPB,,SMN2,,
NAT10,,SNF8,,
NEB,,SNRNP25,,
NEK2,,SNRPF,,
NEK7,,SNUPN,,
NEK8,,SPATA20,,
NETO2,,SPEF2,,
NEUROG2,,SPG7,,
NFIA,,SPRYD7,,
NIP7,,SSR3,,
NIPAL1,,SSU72,,
NIPAL3,,STUB1,,
NIT2,,STX16,,
NKX3-1,,SUOX,,
NME2,,SUPT4H1,,
NME7,,SUPT6H,,
NODAL,,SYS1,,
NR4A1,,TACO1,,
NR4A2,,TARBP1,,
NR4A3,,TATDN1,,
NT5C1B,,TBC1D2,,
NUP43,,TBC1D32,,
OLFM1,,TBCE,,
OLFM3,,TBCE,,
OSBPL1A,,TBCE,,
OSCP1,,TBCE,,
PANK2,,TBL1X,,
PAQR9,,TCTN1,,
PARVA,,TFIP11,,
PARVB,,TLR2,,
PBRM1,,TMEM138,,
PCBD1,,TMEM14B,,
PCBD2,,TMEM169,,
PCMT1,,TMEM41A,,
PDC,,TMEM67,,
PDCL,,TMLHE,,
PDCL3,,TPO,,
PDK3,,TPT1,,
PDS5A,,TRAPPC5,,
PDS5B,,TRAPPC8,,
PDZD11,,TROVE2,,
PDZRN4,,TRPT1,,
PELI3,,TSNAX-DISC1,,
PEPD,,TUBB6,,
PGAP1,,TVP23C,,
PGM1,,TWNK,,
PGM5,,TXNDC15,,
PHF12,,UBA5,,
PHGDH,,UBE3B,,
PIGO,,UBXN1,,
PIP4K2A,,ULK3,,
PIP4K2B,,UPRT,,
PITPNA,,UTP15,,
PITPNB,,UTP4,,
PKD2,,VPS36,,
PLPPR1,,VSNL1,,
PLXNB2,,WARS,,
PLXNC1,,WASHC4,,
PMS1,,WDR55,,
PNKP,,WDR74,,
POLD1,,WEE1,,
POLR1C,,WRB,,
PORCN,,WWC2,,
PPA2,,YIPF5,,
PPAN,,YPEL5,,
PPAN-P2RY11,,ZC2HC1C,,
PPFIA1,,ZCCHC10,,
PPP1R21,,ZNF830,,
PPP1R8,,,,
PPP2R2B,,,,
PPP2R2C,,,,
PPP2R2D,,,,
PRMT1,,,,
PRPF19,,,,
PSME1,,,,
PSME3,,,,
QTRT2,,,,
RAB1A,,,,
RAB6A,,,,
RAB9B,,,,
RABGGTB,,,,
RAD1,,,,
RAD54L2,,,,
RAE1,,,,
RAP1GDS1,,,,
RASGRP1,,,,
RB1,,,,
RBL2,,,,
RBM12,,,,
RBM28,,,,
RBM34,,,,
RCAN1,,,,
RCAN3,,,,
RETSAT,,,,
REV3L,,,,
RFC5,,,,
RHD,,,,
RMND5A,,,,
RNF115,,,,
RNF126,,,,
RNF157,,,,
RNF220,,,,
RPL22L1,,,,
RPL4,,,,
RPS25,,,,
RPS6KB2,,,,
RRAGC,,,,
RRM2,,,,
RTRAF,,,,
SALL2,,,,
SAT1,,,,
SATL1,,,,
SBF2,,,,
SCAF4,,,,
SCMH1,,,,
SCRN2,,,,
SCRN3,,,,
SDR42E2,,,,
SEC11A,,,,
SEC11C,,,,
SECISBP2,,,,
SENP3,,,,
SENP5,,,,
SEPT6,,,,
SEPT7,,,,
SESN1,,,,
SESN3,,,,
SETD3,,,,
SF3A1,,,,
SF3A2,,,,
SF3B5,,,,
SFT2D1,,,,
SFT2D2,,,,
SIGIRR,,,,
SIRT6,,,,
SIX1,,,,
SLBP,,,,
SLC10A3,,,,
SLC10A6,,,,
SLC19A1,,,,
SLC25A28,,,,
SLC35A1,,,,
SLC38A7,,,,
SLC7A6,,,,
SLCO4A1,,,,
SMAD3,,,,
SMARCD2,,,,
SMARCE1,,,,
SNRNP200,,,,
SNRNP40,,,,
SNRPA,,,,
SNRPB,,,,
SNRPC,,,,
SNRPE,,,,
SNX1,,,,
SNX10,,,,
SNX12,,,,
SNX3,,,,
SORL1,,,,
SOS2,,,,
SP5,,,,
SPOUT1,,,,
SRP72,,,,
ST3GAL2,,,,
ST7,,,,
STAG1,,,,
STK3,,,,
STK4,,,,
STMN2,,,,
STMN4,,,,
STXBP1,,,,
STXBP2,,,,
SUFU,,,,
SUMF1,,,,
SUMF2,,,,
TBC1D23,,,,
TBL1XR1,,,,
TBL1Y,,,,
TBP,,,,
TCEA1,,,,
TCF3,,,,
TCP1,,,,
TCP11X2,,,,
TECR,,,,
TEK,,,,
TERT,,,,
TEX10,,,,
TFAP2B,,,,
THOC3,,,,
THSD7A,,,,
TMC7,,,,
TMCC2,,,,
TMED10,,,,
TMEM106B,,,,
TMEM120B,,,,
TMEM131,,,,
TMEM161A,,,,
TMEM161B,,,,
